age,education,occupation,hours_per_week,marital_status,gender,capital_gain,capital_loss,high_income
69,Elementary,Professional,35,Widowed,Female,0.0,0.0,1
32,Masters,White-collar,40,Separated,Female,0.0,0.0,1
89,Assoc,Professional,41,Divorced,Female,0.0,1142.1778706508865,1
78,Bachelors,White-collar,35,Never-married,Female,0.0,0.0,1
38,HS-grad,Professional,37,Widowed,Female,0.0,0.0,1
41,Masters,White-collar,53,Divorced,Female,0.0,0.0,1
20,Bachelors,Professional,53,Separated,Female,0.0,823.3410912176496,1
39,Bachelors,Sales,42,Never-married,Female,0.0,0.0,1
70,Masters,Blue-collar,26,Widowed,Female,0.0,0.0,1
19,Masters,Professional,45,Divorced,Male,0.0,983.6078777633774,1
47,HS-grad,White-collar,55,Never-married,Male,0.0,0.0,1
55,HS-grad,Professional,53,Separated,Male,7109.537673840634,0.0,1
19,HS-grad,Sales,47,Widowed,Male,0.0,0.0,1
81,Bachelors,White-collar,54,Never-married,Male,0.0,0.0,1
77,HS-grad,White-collar,40,Separated,Female,0.0,0.0,1
38,Bachelors,White-collar,46,Separated,Female,2059.3110634615637,2797.865695842588,1
50,Bachelors,Service,33,Divorced,Male,0.0,0.0,1
75,Assoc,White-collar,42,Separated,Female,8469.730420419088,0.0,1
39,Masters,Sales,53,Separated,Male,0.0,0.0,1
66,Doctorate,White-collar,34,Married,Female,0.0,0.0,1
76,HS-grad,Service,31,Separated,Female,0.0,0.0,1
59,HS-grad,Blue-collar,40,Widowed,Male,0.0,0.0,1
77,Bachelors,White-collar,37,Never-married,Male,0.0,2164.6253002734297,1
32,Bachelors,Blue-collar,46,Widowed,Male,0.0,0.0,1
79,Bachelors,White-collar,35,Widowed,Female,0.0,0.0,1
79,Some-college,Blue-collar,57,Divorced,Male,0.0,0.0,1
64,Masters,Blue-collar,27,Married,Female,0.0,0.0,1
79,HS-grad,Professional,52,Married,Female,0.0,0.0,1
68,HS-grad,Blue-collar,32,Widowed,Female,0.0,6927.44159459898,1
72,Assoc,White-collar,22,Never-married,Female,0.0,0.0,1
81,Bachelors,White-collar,42,Married,Male,292.60724166244154,0.0,1
20,HS-grad,White-collar,37,Married,Male,0.0,0.0,1
68,HS-grad,Blue-collar,28,Widowed,Male,0.0,0.0,1
24,Some-college,Professional,23,Married,Male,0.0,0.0,1
38,Elementary,Professional,39,Divorced,Female,2018.6678687122844,0.0,1
56,Bachelors,Blue-collar,49,Widowed,Male,0.0,410.31137312455286,1
35,Some-college,Professional,45,Married,Male,0.0,0.0,1
21,Some-college,Professional,40,Married,Male,495.5665079977084,0.0,1
77,Bachelors,Professional,44,Married,Male,0.0,0.0,1
31,HS-grad,White-collar,39,Widowed,Female,0.0,0.0,1
26,HS-grad,White-collar,25,Never-married,Female,445.89311474383413,0.0,1
70,Elementary,Professional,25,Separated,Female,0.0,0.0,1
19,Bachelors,Other,37,Married,Female,0.0,0.0,1
77,Some-college,Blue-collar,38,Separated,Male,5370.421265256546,0.0,1
88,HS-grad,White-collar,48,Separated,Female,2433.387759279388,0.0,1
61,Doctorate,White-collar,47,Married,Male,0.0,0.0,1
25,HS-grad,White-collar,46,Married,Male,0.0,0.0,1
64,Masters,Sales,37,Separated,Male,10258.312562353827,0.0,1
52,Some-college,Professional,26,Never-married,Male,0.0,1567.2857622163458,1
53,Some-college,Professional,44,Separated,Female,0.0,0.0,1
67,Some-college,Blue-collar,45,Never-married,Female,0.0,0.0,1
21,Bachelors,White-collar,16,Divorced,Male,0.0,0.0,1
19,Masters,White-collar,31,Never-married,Female,0.0,0.0,1
23,Bachelors,Blue-collar,33,Widowed,Female,0.0,0.0,1
71,HS-grad,Sales,41,Married,Male,0.0,0.0,1
21,HS-grad,White-collar,31,Divorced,Male,0.0,0.0,1
71,HS-grad,Sales,39,Separated,Female,3632.538922597306,0.0,1
80,HS-grad,Professional,37,Never-married,Male,1750.2221662823636,0.0,1
35,Elementary,Blue-collar,38,Divorced,Female,6380.726627050525,0.0,1
61,Bachelors,White-collar,32,Widowed,Male,0.0,0.0,1
51,Masters,Blue-collar,33,Never-married,Male,4891.053975310337,0.0,1
79,HS-grad,Service,29,Separated,Male,0.0,0.0,1
31,Bachelors,Service,43,Separated,Male,0.0,0.0,1
65,Bachelors,Service,45,Never-married,Female,8037.065339810141,0.0,1
32,Assoc,White-collar,32,Widowed,Female,0.0,0.0,1
89,Some-college,White-collar,55,Married,Female,5158.343446314389,0.0,1
79,Assoc,White-collar,36,Married,Female,913.6887195325088,0.0,1
57,Elementary,Sales,55,Separated,Male,0.0,0.0,1
70,Bachelors,Blue-collar,33,Widowed,Male,0.0,0.0,1
41,HS-grad,Professional,19,Separated,Female,0.0,0.0,1
43,Masters,Service,44,Married,Female,0.0,0.0,1
77,HS-grad,Blue-collar,42,Separated,Female,0.0,0.0,1
58,HS-grad,Other,40,Never-married,Female,0.0,0.0,1
46,HS-grad,Blue-collar,33,Never-married,Female,5548.012871089846,0.0,1
32,Masters,White-collar,39,Widowed,Male,0.0,1192.4988701885268,1
62,Masters,Professional,34,Married,Female,2484.1961023269823,0.0,1
82,Bachelors,Professional,36,Widowed,Female,0.0,5023.0625345704775,1
88,HS-grad,White-collar,48,Widowed,Male,3110.117852618192,0.0,1
26,Masters,Sales,41,Married,Male,0.0,0.0,1
18,Masters,Blue-collar,46,Divorced,Female,0.0,0.0,1
25,Bachelors,Blue-collar,37,Divorced,Female,12727.398067949394,0.0,1
80,Doctorate,Sales,36,Separated,Female,0.0,0.0,1
28,Bachelors,Professional,28,Divorced,Male,0.0,0.0,1
25,HS-grad,Professional,36,Never-married,Female,2231.1546327327746,0.0,1
52,Some-college,Professional,10,Widowed,Female,0.0,0.0,1
52,Masters,White-collar,34,Separated,Male,4733.223216663408,0.0,1
50,HS-grad,White-collar,39,Widowed,Male,0.0,0.0,1
22,Masters,Professional,45,Married,Male,2258.7108145411817,0.0,1
58,Masters,White-collar,37,Divorced,Male,0.0,0.0,1
45,Some-college,Professional,43,Married,Female,497.59629729237173,21.352037805575694,1
24,Doctorate,Sales,18,Separated,Male,3021.336719919152,0.0,1
89,Masters,White-collar,39,Never-married,Male,0.0,0.0,1
29,HS-grad,White-collar,23,Divorced,Male,0.0,0.0,1
51,Bachelors,White-collar,27,Married,Female,0.0,9050.944447851605,1
50,HS-grad,Service,38,Divorced,Male,4544.856726038659,0.0,1
65,HS-grad,Professional,52,Widowed,Female,0.0,0.0,1
40,Masters,White-collar,43,Never-married,Male,0.0,0.0,1
79,HS-grad,Blue-collar,40,Divorced,Female,0.0,0.0,1
54,HS-grad,Sales,39,Never-married,Female,2617.0498108494385,0.0,1
61,Bachelors,Service,32,Widowed,Female,0.0,0.0,1
52,HS-grad,White-collar,34,Widowed,Male,0.0,0.0,1
82,HS-grad,White-collar,44,Married,Female,0.0,0.0,1
64,Doctorate,Professional,26,Separated,Male,2476.9451231346,0.0,1
20,Bachelors,Sales,45,Married,Male,0.0,0.0,1
18,Masters,White-collar,36,Never-married,Female,0.0,0.0,1
22,Assoc,Professional,48,Married,Male,0.0,0.0,1
31,Bachelors,White-collar,49,Divorced,Female,8584.517485824066,1306.8313279799243,1
44,HS-grad,White-collar,23,Married,Male,0.0,0.0,1
26,Bachelors,Professional,34,Separated,Female,150.6734774719492,0.0,1
32,Masters,Sales,31,Separated,Male,0.0,0.0,1
59,Masters,Sales,21,Never-married,Female,0.0,0.0,1
68,HS-grad,Professional,29,Widowed,Male,0.0,0.0,1
80,HS-grad,White-collar,64,Separated,Male,1751.9408554367978,0.0,1
69,Some-college,Blue-collar,46,Never-married,Female,0.0,0.0,1
21,Bachelors,White-collar,59,Separated,Male,0.0,0.0,1
40,Bachelors,White-collar,48,Separated,Male,0.0,0.0,1
32,Some-college,White-collar,32,Widowed,Female,0.0,1964.5386974831817,1
60,Masters,Sales,36,Divorced,Female,8350.11503674085,0.0,1
46,Some-college,Service,45,Never-married,Female,0.0,0.0,1
53,Masters,Sales,44,Separated,Female,12661.887785301418,0.0,1
30,Some-college,Professional,34,Separated,Female,0.0,0.0,1
49,HS-grad,White-collar,24,Married,Male,0.0,0.0,1
88,Doctorate,Blue-collar,72,Divorced,Female,2657.689803259504,892.7384488935083,1
76,Assoc,Professional,38,Widowed,Male,0.0,0.0,1
45,Masters,Other,36,Never-married,Male,0.0,0.0,1
83,Bachelors,Service,41,Separated,Male,0.0,0.0,1
59,HS-grad,Professional,37,Never-married,Male,0.0,0.0,1
62,Bachelors,Service,41,Widowed,Male,0.0,3828.2158620910777,1
79,Bachelors,White-collar,52,Divorced,Female,0.0,0.0,1
74,HS-grad,Blue-collar,38,Married,Female,0.0,0.0,1
23,Masters,White-collar,28,Divorced,Female,0.0,0.0,1
45,Masters,White-collar,38,Married,Female,0.0,0.0,1
45,HS-grad,Sales,35,Never-married,Female,10981.865643431043,0.0,1
61,Masters,Blue-collar,54,Divorced,Female,1109.0354871148866,0.0,1
47,Bachelors,Professional,51,Divorced,Male,0.0,0.0,1
79,Bachelors,Sales,41,Divorced,Female,0.0,0.0,1
79,Bachelors,Professional,27,Widowed,Female,0.0,0.0,1
18,HS-grad,White-collar,27,Never-married,Female,0.0,0.0,1
44,Bachelors,White-collar,40,Married,Female,0.0,1651.017692847319,1
79,HS-grad,White-collar,43,Divorced,Female,0.0,0.0,1
20,HS-grad,White-collar,36,Never-married,Male,0.0,2174.2229718246135,1
87,Some-college,Professional,35,Widowed,Male,0.0,0.0,1
89,Bachelors,Professional,34,Widowed,Male,0.0,0.0,1
44,Masters,Professional,39,Never-married,Female,0.0,0.0,1
26,Masters,White-collar,16,Married,Female,1251.4630459662812,2093.3952107111604,1
79,Some-college,Service,28,Never-married,Female,9360.230772314595,0.0,1
54,Assoc,Professional,33,Never-married,Male,11678.52482065022,0.0,1
68,Bachelors,Service,52,Separated,Male,1260.3249148574034,905.057268229001,1
61,Bachelors,Blue-collar,31,Widowed,Female,305.78357597330523,0.0,1
41,Some-college,Sales,41,Married,Female,0.0,0.0,1
76,HS-grad,Sales,42,Separated,Male,0.0,0.0,1
49,Masters,Blue-collar,52,Never-married,Male,0.0,0.0,1
69,Masters,Professional,52,Widowed,Male,0.0,0.0,1
79,Masters,White-collar,39,Separated,Female,0.0,0.0,1
75,Assoc,Sales,35,Separated,Male,473.3346874492207,0.0,1
69,Elementary,Sales,33,Married,Female,0.0,0.0,1
29,Doctorate,Blue-collar,37,Never-married,Female,0.0,0.0,1
56,HS-grad,Professional,35,Married,Female,0.0,0.0,1
19,Some-college,Sales,45,Separated,Male,0.0,158.06692517979664,1
20,Bachelors,White-collar,44,Separated,Male,0.0,0.0,1
73,Bachelors,White-collar,45,Married,Male,0.0,0.0,1
76,Some-college,White-collar,52,Separated,Male,1514.864148354476,3297.4620077913773,1
19,HS-grad,Sales,58,Divorced,Female,0.0,0.0,1
19,Bachelors,Blue-collar,41,Widowed,Female,7165.86239216529,0.0,1
71,Bachelors,White-collar,50,Never-married,Female,0.0,684.1805502921246,1
18,Some-college,Blue-collar,36,Widowed,Female,0.0,0.0,1
36,HS-grad,White-collar,51,Never-married,Male,0.0,0.0,1
19,Masters,Professional,50,Separated,Female,0.0,0.0,1
70,Bachelors,Professional,50,Married,Male,3566.666050248854,0.0,1
61,Some-college,Professional,40,Married,Female,0.0,0.0,1
49,Some-college,White-collar,33,Separated,Male,3040.252564509711,3780.026971647834,1
87,HS-grad,White-collar,26,Never-married,Female,0.0,1876.2702291031687,1
49,HS-grad,Blue-collar,39,Separated,Female,0.0,0.0,1
85,Bachelors,Blue-collar,55,Never-married,Male,0.0,0.0,1
72,Elementary,Professional,36,Separated,Female,4387.03224151077,0.0,1
73,Masters,Professional,47,Separated,Male,0.0,0.0,1
34,Assoc,White-collar,48,Separated,Female,0.0,0.0,1
55,HS-grad,White-collar,37,Married,Male,0.0,0.0,1
41,Some-college,Professional,53,Never-married,Male,0.0,0.0,1
86,Some-college,Professional,10,Separated,Male,0.0,0.0,1
87,Masters,Service,27,Widowed,Male,11046.526385930561,0.0,1
28,Assoc,Blue-collar,30,Widowed,Female,0.0,0.0,1
33,HS-grad,Professional,31,Married,Male,0.0,0.0,1
76,Bachelors,White-collar,43,Divorced,Male,0.0,0.0,1
87,Masters,White-collar,42,Married,Male,0.0,0.0,1
20,Doctorate,Blue-collar,43,Divorced,Male,0.0,0.0,1
37,Masters,White-collar,45,Married,Female,0.0,0.0,1
76,Bachelors,Professional,30,Widowed,Male,473.9186796122425,872.9952219476893,1
53,HS-grad,Blue-collar,27,Separated,Female,0.0,0.0,1
36,HS-grad,White-collar,43,Never-married,Female,0.0,0.0,1
84,HS-grad,White-collar,33,Separated,Male,5932.697058178786,0.0,1
36,Masters,White-collar,24,Widowed,Male,13072.174032408757,0.0,1
37,Doctorate,White-collar,49,Never-married,Male,0.0,0.0,1
88,Bachelors,White-collar,53,Divorced,Male,0.0,0.0,1
69,HS-grad,Professional,55,Divorced,Female,1199.8595468977135,0.0,1
50,HS-grad,White-collar,41,Widowed,Female,9093.772367271677,0.0,1
57,Bachelors,Professional,46,Never-married,Male,5987.050443309852,0.0,1
56,Some-college,Blue-collar,53,Separated,Male,0.0,0.0,1
18,Assoc,Professional,33,Widowed,Female,0.0,0.0,1
28,HS-grad,Professional,51,Divorced,Female,0.0,0.0,1
74,Some-college,Sales,42,Widowed,Male,0.0,0.0,1
67,Some-college,Blue-collar,49,Separated,Male,0.0,0.0,1
40,Some-college,Blue-collar,41,Married,Male,0.0,0.0,1
48,Bachelors,White-collar,52,Married,Male,0.0,1804.0220921059347,1
59,Assoc,Professional,42,Separated,Male,0.0,0.0,1
24,HS-grad,Blue-collar,25,Never-married,Male,72.87113016297666,0.0,1
33,HS-grad,Sales,54,Widowed,Female,0.0,0.0,1
77,Bachelors,Professional,30,Separated,Female,1317.3002454549776,0.0,1
19,HS-grad,Service,52,Married,Female,0.0,0.0,1
18,Bachelors,Professional,39,Divorced,Female,4655.052197032247,0.0,1
65,Bachelors,Other,51,Separated,Male,0.0,0.0,1
29,HS-grad,Blue-collar,51,Separated,Male,0.0,2074.052638582709,1
86,Some-college,Sales,44,Separated,Female,0.0,0.0,1
54,Some-college,Service,45,Married,Male,0.0,0.0,1
49,HS-grad,Blue-collar,44,Married,Male,0.0,0.0,1
26,Some-college,Professional,19,Separated,Male,0.0,0.0,1
36,Some-college,White-collar,41,Separated,Female,0.0,0.0,1
65,Some-college,Professional,28,Never-married,Female,0.0,0.0,1
20,Bachelors,White-collar,41,Divorced,Female,3489.797099073291,2453.005467422445,1
37,Masters,Blue-collar,28,Widowed,Female,0.0,3455.7463346830036,1
41,Assoc,White-collar,28,Widowed,Female,0.0,0.0,1
71,Masters,White-collar,56,Widowed,Female,0.0,0.0,1
50,HS-grad,Sales,50,Married,Female,0.0,0.0,1
41,HS-grad,Blue-collar,39,Married,Male,0.0,0.0,1
89,Masters,Professional,41,Never-married,Female,0.0,0.0,1
53,HS-grad,White-collar,37,Married,Male,0.0,0.0,1
55,Bachelors,Professional,45,Separated,Male,0.0,0.0,1
42,HS-grad,Sales,33,Divorced,Female,0.0,0.0,1
35,Some-college,Professional,49,Divorced,Male,0.0,0.0,1
83,Some-college,Sales,37,Divorced,Male,3753.2062215516376,0.0,1
71,Bachelors,White-collar,35,Divorced,Female,0.0,0.0,1
52,Assoc,Professional,40,Widowed,Male,0.0,0.0,1
78,HS-grad,Service,34,Widowed,Female,0.0,0.0,1
58,Masters,Professional,43,Separated,Male,0.0,0.0,1
50,Some-college,White-collar,34,Never-married,Male,0.0,0.0,1
85,Some-college,Professional,44,Married,Male,0.0,0.0,1
50,Assoc,White-collar,52,Married,Male,1319.3747848894645,0.0,1
31,HS-grad,White-collar,32,Widowed,Female,0.0,0.0,1
38,Some-college,White-collar,38,Divorced,Female,0.0,0.0,1
65,Bachelors,Professional,44,Separated,Female,0.0,0.0,1
37,Doctorate,White-collar,35,Never-married,Male,0.0,0.0,1
25,Doctorate,Sales,44,Widowed,Male,5619.703879064442,0.0,1
24,Masters,Blue-collar,45,Separated,Male,0.0,0.0,1
84,HS-grad,White-collar,50,Separated,Male,0.0,0.0,1
34,Some-college,Sales,33,Widowed,Female,1549.0820026231067,0.0,1
50,Bachelors,Professional,30,Separated,Male,0.0,0.0,1
65,Bachelors,White-collar,36,Divorced,Female,0.0,0.0,1
76,Doctorate,Professional,30,Separated,Male,0.0,0.0,1
39,HS-grad,Professional,45,Never-married,Male,2466.852330449733,0.0,1
47,Some-college,Professional,28,Separated,Female,0.0,0.0,1
55,HS-grad,White-collar,63,Married,Female,0.0,0.0,1
68,Bachelors,Sales,52,Separated,Female,0.0,0.0,1
71,Some-college,Service,40,Widowed,Female,0.0,0.0,1
25,HS-grad,Professional,48,Married,Male,2301.5808498900997,0.0,1
44,Bachelors,Sales,23,Widowed,Female,0.0,0.0,1
44,Doctorate,Blue-collar,65,Never-married,Female,0.0,0.0,1
38,HS-grad,Sales,34,Divorced,Male,0.0,0.0,1
47,Masters,White-collar,38,Never-married,Male,0.0,0.0,1
